Material Description                    , Plant, Period, Year, Amount in LC       , Quantity
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 2320.7             , 78.18181818181819
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 24353.590909090908 , 806.0606060606061
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18859.127272727274 , 624.5454545454546
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20913.81818181818  , 692.4242424242425
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 21473.354545454542 , 710.909090909091
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 19079.272727272728 , 631.8181818181819
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 14043.445454545454 , 465.4545454545455
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18180.345454545455 , 602.1212121212121
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 14006.754545454545 , 464.24242424242425
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 7897.718181818181  , 262.42424242424244
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 21317.41818181818  , 705.7575757575758
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 24500.354545454542 , 810.909090909091
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 26472.49090909091  , 876.0606060606061
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 24032.545454545452 , 795.4545454545455
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 15125.82727272727  , 501.21212121212125
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20712.01818181818  , 685.7575757575758
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18097.79090909091  , 599.3939393939394
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20959.681818181816 , 693.939393939394
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 21922.81818181818  , 725.7575757575758
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 40002.263636363634 , 1323.030303030303
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 779.6818181818181  , 27.272727272727273
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 64.2090909090909   , 3.6363636363636367
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 733.8181818181818  , 25.757575757575758
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 19381.972727272725 , 641.8181818181819
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 14896.50909090909  , 493.6363636363637
Crate: Red Quart                        , AA   , 7     , 2022, 188.61363636363635 , 14.545454545454547
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 972.3090909090907  , 33.63636363636364
Crate: Red Quart                        , AA   , 7     , 2022, -464.9545454545454 , -30.60606060606061
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18015.236363636363 , 596.6666666666667
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 23307.899999999998 , 771.5151515151515
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 17281.418181818182 , 572.4242424242425
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 7301.490909090909  , 242.72727272727275
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 12640.01818181818  , 419.0909090909091
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18831.60909090909  , 623.6363636363636
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 10878.854545454544 , 360.90909090909093
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 17345.62727272727  , 574.5454545454546
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 23463.83636363636  , 776.6666666666667
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 19647.981818181815 , 650.6060606060606
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 19207.690909090907 , 636.0606060606061
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18006.063636363633 , 596.3636363636364
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 16382.49090909091  , 542.7272727272727
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20372.62727272727  , 674.5454545454546
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 23069.40909090909  , 763.6363636363636
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 24371.936363636363 , 806.6666666666667
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 23766.53636363636  , 786.6666666666667
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 21876.954545454544 , 724.2424242424242
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 25701.981818181815 , 850.6060606060606
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 21739.363636363632 , 719.6969696969697
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 24757.190909090907 , 819.3939393939395
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 13658.190909090908 , 452.72727272727275
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 10897.199999999999 , 361.51515151515156
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 431.1181818181818  , 15.757575757575758
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 3568.190909090909  , 119.3939393939394
Crate: Red Quart                        , AA   , 7     , 2022, -1706.2954545454543, -116.36363636363637
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18171.172727272726 , 601.8181818181819
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 15740.399999999998 , 521.5151515151515
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 5210.109090909091  , 173.63636363636365
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 9108.518181818183  , 302.42424242424244
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 935.6181818181818  , 32.42424242424243
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 467.8090909090909  , 16.96969696969697
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 6842.854545454546  , 227.5757575757576
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 16290.763636363636 , 539.6969696969697
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 12282.281818181817 , 407.2727272727273
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 17244.727272727272 , 571.2121212121212
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 8814.990909090908  , 292.72727272727275
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 11768.609090909089 , 390.3030303030303
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 21033.063636363633 , 696.3636363636364
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 10328.490909090908 , 342.72727272727275
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 24417.8            , 808.1818181818182
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 24362.763636363634 , 806.3636363636364
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 22931.81818181818  , 759.0909090909091
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 18694.018181818177 , 619.0909090909091
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 17565.772727272724 , 581.8181818181819
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 15859.645454545454 , 525.4545454545455
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20904.645454545454 , 692.1212121212121
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20161.654545454545 , 667.5757575757576
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 9943.236363636363  , 330.0
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 22601.599999999995 , 748.1818181818182
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 4430.427272727273  , 147.87878787878788
Crate: Red Quart                        , AA   , 7     , 2022, -2118.613636363636 , -144.84848484848484
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 16960.372727272726 , 561.8181818181819
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 14703.881818181817 , 487.2727272727273
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20739.53636363636  , 686.6666666666667
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 8723.263636363636  , 289.6969696969697
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 17758.4            , 588.1818181818182
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 5760.472727272727  , 191.81818181818184
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 9512.118181818181  , 315.75757575757575
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 3678.263636363636  , 123.03030303030303
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 2605.0545454545454 , 87.57575757575758
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 14667.190909090908 , 486.06060606060606
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 16676.01818181818  , 552.4242424242425
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 1605.2272727272725 , 54.54545454545455
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 10200.072727272727 , 338.4848484848485
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 14492.90909090909  , 480.3030303030303
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 10154.20909090909  , 336.969696969697
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 1449.290909090909  , 49.3939393939394
Crate: Red Quart                        , AA   , 7     , 2022, -693.0454545454545 , -46.36363636363637
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 4210.281818181818  , 140.60606060606062
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 9548.80909090909   , 316.969696969697
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 15290.936363636361 , 506.6666666666667
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 19180.172727272726 , 635.1515151515152
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 9741.436363636363  , 323.33333333333337
B&CR: 660RB Green Lite & Red Crate      , AA   , 7     , 2022, 20675.32727272727  , 684.5454545454546
